"KABU_MANEGE_ID","KABU_VOLUME","KABU_CLOSE","KABU_LOW","KABU_HIGH","KABU_OPEN","KABU_NAME","KABU_CODE","KABU_DATE"
"1","6396000","466","461","469","469","鹿島","1812","2014/11/20 00:00:00.0"
"2","5685000","469","461","471","466","鹿島","1812","2014/11/21 00:00:00.0"
"3","6624000","459","459","467","466","鹿島","1812","2014/11/27 00:00:00.0"
"4","4578000","468","467","471","468","鹿島","1812","2014/11/26 00:00:00.0"
"5","6451000","471","467","473","472","鹿島","1812","2014/11/25 00:00:00.0"
"6","5685000","469","461","471","466","鹿島","1812","2014/11/21 00:00:00.0"
"7","6396000","466","461","469","469","鹿島","1812","2014/11/20 00:00:00.0"
"8","7832000","468","465","472","466","鹿島","1812","2014/11/19 00:00:00.0"
"9","7774000","465","457","465","457","鹿島","1812","2014/11/18 00:00:00.0"
"10","13055000","454","453","467","466","鹿島","1812","2014/11/17 00:00:00.0"
"11","9304000","469","465","472","472","鹿島","1812","2014/11/14 00:00:00.0"
"12","11334000","465","455","469","462","鹿島","1812","2014/11/13 00:00:00.0"
"13","16587000","466","462","483","483","鹿島","1812","2014/11/12 00:00:00.0"
"14","10304000","481","474","486","480","鹿島","1812","2014/11/11 00:00:00.0"
"15","8180000","479","474","483","482","鹿島","1812","2014/11/10 00:00:00.0"
"16","7322000","484","480","488","487","鹿島","1812","2014/11/07 00:00:00.0"
"17","9367000","482","481","492","485","鹿島","1812","2014/11/06 00:00:00.0"
"18","10265000","483","481","491","490","鹿島","1812","2014/11/05 00:00:00.0"
"19","12096000","492","490","507","505","鹿島","1812","2014/11/04 00:00:00.0"
"20","15924000","492","476","498","480","鹿島","1812","2014/10/31 00:00:00.0"
"21","9946000","476","476","488","488","鹿島","1812","2014/10/30 00:00:00.0"
"22","19623000","491","485","498","492","鹿島","1812","2014/10/29 00:00:00.0"
"23","292000","260","257","260","259","極洋","1301","2014/10/31 00:00:00.0"
"24","352000","257","256","260","258","極洋","1301","2014/10/30 00:00:00.0"
"25","271000","259","256","259","258","極洋","1301","2014/10/29 00:00:00.0"
"26","33200","1072","1072","1072","1072","ケアネット","2150","2014/11/26 00:00:00.0"
"27","14800","772","772","772","772","ケアネット","2150","2014/11/25 00:00:00.0"
"28","64800","672","672","672","672","ケアネット","2150","2014/11/21 00:00:00.0"
"29","33000","572","572","572","572","ケアネット","2150","2014/11/20 00:00:00.0"
"30","42200","492","468","492","468","ケアネット","2150","2014/11/19 00:00:00.0"
"31","3400","412","410","415","414","ケアネット","2150","2014/11/18 00:00:00.0"
"32","2700","401","401","407","407","ケアネット","2150","2014/11/17 00:00:00.0"
"33","4200","407","407","420","410","ケアネット","2150","2014/11/14 00:00:00.0"
"34","800","415","407","415","410","ケアネット","2150","2014/11/13 00:00:00.0"
"35","3300","413","408","420","413","ケアネット","2150","2014/11/12 00:00:00.0"
"36","3400","409","408","413","411","ケアネット","2150","2014/11/11 00:00:00.0"
"37","1400","413","406","413","406","ケアネット","2150","2014/11/10 00:00:00.0"
"38","1400","408","408","415","412","ケアネット","2150","2014/11/07 00:00:00.0"
"39","2600","410","410","416","414","ケアネット","2150","2014/11/06 00:00:00.0"
"40","4900","409","404","419","415","ケアネット","2150","2014/11/05 00:00:00.0"
"41","6300","419","411","419","411","ケアネット","2150","2014/11/04 00:00:00.0"
"42","5300","405","400","409","400","ケアネット","2150","2014/10/31 00:00:00.0"
"43","4400","398","397","410","403","ケアネット","2150","2014/10/30 00:00:00.0"
"44","2100","400","395","400","398","ケアネット","2150","2014/10/29 00:00:00.0"
"45","5235000","369","366","374","368","熊谷組","1861","2014/11/27 00:00:00.0"
"46","3127000","368","366","370","369","熊谷組","1861","2014/11/26 00:00:00.0"
"47","6147000","370","366","374","373","熊谷組","1861","2014/11/25 00:00:00.0"
"48","5112000","373","368","375","369","熊谷組","1861","2014/11/21 00:00:00.0"
"49","7921000","370","368","380","379","熊谷組","1861","2014/11/20 00:00:00.0"
"50","13700000","377","372","381","373","熊谷組","1861","2014/11/19 00:00:00.0"
"51","7494000","371","363","372","364","熊谷組","1861","2014/11/18 00:00:00.0"
"52","8930000","363","360","371","371","熊谷組","1861","2014/11/17 00:00:00.0"
"53","8913000","369","366","374","370","熊谷組","1861","2014/11/14 00:00:00.0"
"54","19212000","367","360","376","361","熊谷組","1861","2014/11/13 00:00:00.0"
"55","33082000","364","362","393","392","熊谷組","1861","2014/11/12 00:00:00.0"
"56","6973000","392","389","394","392","熊谷組","1861","2014/11/11 00:00:00.0"
"57","11661000","391","388","396","396","熊谷組","1861","2014/11/10 00:00:00.0"
"58","12538000","397","395","408","404","熊谷組","1861","2014/11/07 00:00:00.0"
"59","24356000","400","399","414","400","熊谷組","1861","2014/11/06 00:00:00.0"
"60","9626000","402","399","404","403","熊谷組","1861","2014/11/05 00:00:00.0"
"61","16057000","400","397","406","405","熊谷組","1861","2014/11/04 00:00:00.0"
"62","12553000","400","390","400","391","熊谷組","1861","2014/10/31 00:00:00.0"
"63","12397000","390","390","401","400","熊谷組","1861","2014/10/30 00:00:00.0"
